ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1526846366.775963,CxK6ojUoUDZwLreac,192.168.2.5,55176,191.239.60.163,22,tcp,ssh,4.821358,589,2574,SF,-,-,0,ShAdDaFf,16,1429,16,3414,(empty),Malicious,Attack
1526765511.677519,CYJzUJ2mMpLeMrle7d,192.168.2.5,41036,69.131.140.8,22,tcp,ssh,3.592734,589,1024,SF,-,-,0,ShAdDaFf,14,1325,16,1864,(empty),Malicious,Attack
1551381385.462829,COV3cSx2lQlFoqn92,192.168.1.200,60682,112.140.120.100,23,tcp,-,0.281589,0,0,REJ,-,-,0,Sr,2,120,2,120,-,Malicious,Attack
1551378552.440945,C2Rdwp1qrnT5ist7Wi,192.168.1.200,43886,119.83.164.85,23,tcp,-,37.960623,415,72,RSTO,-,-,0,ShAdDaR,30,2152,16,792,-,Malicious,Attack
1526837281.180623,CaReVW2v6bRlkjsq5f,192.168.2.5,47351,219.94.128.110,22,tcp,ssh,6.066009,589,1429,SF,-,-,0,ShAadDFf,15,1377,13,2113,(empty),Malicious,Attack
1551396688.355833,C56pbT2vSmQOzS5BJh,192.168.1.200,47368,184.174.70.127,23,tcp,-,1.076633,0,0,REJ,-,-,0,Sr,4,240,2,80,-,Malicious,Attack
1526768033.702438,CGqD4CPRuSUztf5kl,192.168.2.5,42151,69.158.20.101,22,tcp,ssh,2.558119,589,1094,SF,-,-,0,ShAdDaFf,14,1169,17,1786,(empty),Malicious,Attack
1551401421.465377,CTniD730aRDXqSsSXj,192.168.1.200,53896,60.114.92.99,23,tcp,-,0.288091,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1551380461.782007,CpBg291uxVxSyiA3Sk,192.168.1.200,45378,183.181.175.254,23,tcp,-,0.301333,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1526830013.103103,CKsTne3fUKWN8rC4nh,192.168.2.5,53975,144.76.156.49,22,tcp,ssh,3.130520,589,2590,SF,-,-,0,ShAdDaFf,14,1325,16,3430,(empty),Malicious,Attack
1526875135.623987,CYwtrJ1v4BzpzmWmoj,192.168.2.5,51524,203.137.182.59,22,tcp,ssh,5.043546,589,2603,SF,-,-,0,ShAdDaFf,15,1385,14,3339,(empty),Malicious,Attack
1551382096.693179,CF888G4Mu7Xx4T8Bpa,192.168.1.200,59706,128.172.124.161,23,tcp,-,1.122116,0,0,REJ,-,-,0,Sr,4,240,2,80,-,Malicious,Attack
1551410740.247357,C5vtW03L6BeJ8n8El9,192.168.1.200,52884,69.161.62.157,23,tcp,-,0.169914,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1526832800.231868,CrcdwZ3FtnxVuubx23,192.168.2.5,33096,144.172.84.173,22,tcp,ssh,5.432736,589,1801,SF,-,-,0,ShAdDaFf,14,1325,17,2705,(empty),Malicious,Attack
1551390195.435629,CylLfp2tzOQmloLnkl,192.168.1.200,48404,191.166.161.209,23,tcp,-,0.919218,0,0,REJ,-,-,0,Sr,2,120,2,104,-,Malicious,Attack
1551390806.952639,CuC1YW3Tpb59o21eO8,192.168.1.200,36830,191.196.173.172,23,tcp,-,0.733587,0,0,REJ,-,-,0,Sr,2,120,2,104,-,Malicious,Attack
1526865866.964109,CvXSIM3ZtQ6LnAHSXa,192.168.2.5,57782,204.188.220.234,22,tcp,ssh,5.807632,589,2603,SF,-,-,0,ShAdDaFf,17,1533,17,3507,(empty),Malicious,Attack
1526866791.744766,Cz1QcC7W0bKTJHL37,192.168.2.5,37909,204.188.253.197,22,tcp,ssh,4.582108,589,1801,SF,-,-,0,ShAdDaFf,13,1273,15,2589,(empty),Malicious,Attack
1526824681.584233,CWkMQunmMed1LYegi,192.168.2.5,39848,196.196.116.149,22,tcp,ssh,3.479271,589,1801,SF,-,-,0,ShAdDaFf,13,1273,16,2641,(empty),Malicious,Attack
1526759603.473915,CWOfhq1jDYJ7QajQUf,192.168.2.5,43984,121.232.125.149,22,tcp,ssh,5.338852,589,1801,SF,-,-,0,ShAdDaFf,15,1377,15,2589,(empty),Malicious,Attack
1526810522.955187,Ca2kao2eB93r6U6OR7,192.168.2.5,59028,182.54.195.83,22,tcp,ssh,7.565822,589,1123,SF,-,-,0,ShAdDaFf,14,1325,16,1963,(empty),Malicious,Attack
1526772641.255681,CAECpd3SqdanETZOQ1,192.168.2.5,53219,31.13.134.212,22,tcp,-,1.124824,21,1112,SF,-,-,0,ShAdDaFf,7,393,6,1444,(empty),Malicious,Attack
1551412845.382257,C5OIde1FnQmNfGGhe1,192.168.1.200,52258,104.151.148.79,23,tcp,-,0.149917,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1526854399.270384,CkuHEv3qwmiCc4NQTl,192.168.2.5,38455,51.254.123.104,22,tcp,ssh,2.094131,589,2603,SF,-,-,0,ShAdDaFf,14,1325,16,3443,(empty),Malicious,Attack
1526772868.595503,CA4LYe1itibyUA4PLe,192.168.2.5,39566,31.162.62.5,22,tcp,ssh,3.384170,589,1167,SF,-,-,0,ShAdDaFRfRR,15,1341,17,2059,(empty),Malicious,Attack
1547075695.347873,Cqrd4fuJLQcceVyTh,192.168.1.194,48734,34.212.30.100,22,tcp,ssh,2.598522,1642,1753,SF,-,-,0,ShADadFf,14,2378,14,2489,-,Malicious,Attack
1526810699.447506,CEcc8s441HFRK8pLv7,192.168.2.5,59317,182.54.195.83,22,tcp,ssh,6.350144,589,1123,SF,-,-,0,ShAdDaFf,14,1325,16,1963,(empty),Malicious,Attack
1547077332.919924,ChJRMCr2tzyNUZUlk,192.168.1.194,33724,91.228.53.216,22,tcp,ssh,2.978300,1802,1800,SF,-,-,0,ShADadFf,14,2538,15,2588,-,Malicious,Attack
1551405863.116911,C7CY3L1kqNYd306lF9,192.168.1.200,59896,119.122.36.109,23,tcp,-,3.916794,0,0,REJ,-,-,0,Sr,6,360,2,80,-,Malicious,Attack
1526768136.681174,CSGwxs2oNshKWKhY18,192.168.2.5,42271,69.158.20.101,22,tcp,ssh,1.922825,589,1094,SF,-,-,0,ShAdDaFf,14,1169,16,1746,(empty),Malicious,Attack
1526801094.203900,C5yfP50eWoKrC5m9a,192.168.2.5,49054,144.76.20.146,22,tcp,ssh,2.075504,589,1769,SF,-,-,0,ShAdDaFf,13,1129,15,2373,(empty),Malicious,Attack
1526802342.137928,C08kui1TrFB1hNDbI4,192.168.2.5,51001,144.217.110.36,22,tcp,ssh,3.452769,589,2241,SF,-,-,0,ShAdDaFf,15,1377,15,3029,(empty),Malicious,Attack
1551382032.343809,CjyHjt23n44D4Nqd6k,192.168.1.200,41748,112.177.201.215,23,tcp,-,0.299594,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1526758394.709454,CZYHm31rALNYRD90Ei,192.168.2.5,34700,121.41.11.135,22,tcp,ssh,5.301399,589,1801,SF,-,-,0,ShAdDaFf,13,1273,16,2653,(empty),Malicious,Attack
1526853774.323216,C3ihnu22KpKZcb0yR,192.168.2.5,44208,51.15.2.81,22,tcp,ssh,3.172829,589,2600,SF,-,-,0,ShAdDaFf,14,1325,16,3440,(empty),Malicious,Attack
1526867650.879538,C4jtaz4a2YEfBYWkxa,192.168.2.5,47739,204.85.2.160,22,tcp,ssh,4.230826,589,2603,SF,-,-,0,ShAdDaFf,14,1325,16,3443,(empty),Malicious,Attack
1526808280.409764,CboPAL21eqrAjle93e,192.168.2.5,45324,182.129.240.170,22,tcp,ssh,4.483346,581,895,SF,-,-,0,ShAdDaFRfR,16,1397,15,1683,(empty),Malicious,Attack
1551410971.689799,CxDZpc4ZvHqRmfGgug,192.168.1.200,50810,185.224.193.252,23,tcp,-,3.175433,0,0,REJ,-,-,0,Sr,6,360,2,80,-,Malicious,Attack
1526851664.065927,CaWnoq2kUE5pGCpGJ7,192.168.2.5,35163,51.254.203.244,22,tcp,ssh,2.080008,589,2599,SF,-,-,0,ShAdDaFf,14,1325,16,3439,(empty),Malicious,Attack
1547071194.877627,CArIOCHN9267BME5k,192.168.1.194,37302,52.210.179.197,22,tcp,ssh,4.067181,1642,1761,SF,-,-,0,ShADadFf,13,2326,14,2497,-,Malicious,Attack
1526881842.042148,C2CN9SVySoswmhpJc,192.168.2.5,54930,137.74.205.120,22,tcp,ssh,1.701271,589,1817,SF,-,-,0,ShAdDaFf,13,1273,12,2449,(empty),Malicious,Attack
1526772528.430529,CzyogF1ZyDfcooNoN3,192.168.2.5,53534,31.145.9.194,22,tcp,ssh,3.671660,537,1135,SF,-,-,0,ShAdDafF,11,997,14,1699,(empty),Malicious,Attack
1551384818.161534,CjL8ss1lDMbrOqfTD1,192.168.1.200,42556,108.186.152.123,23,tcp,-,0.158930,0,0,REJ,-,-,0,Sr,2,120,2,80,-,Malicious,Attack
1526810600.124072,Cqax6j4mjBzzrtrIt,192.168.2.5,51544,182.48.220.1,22,tcp,ssh,7.710856,589,1048,SF,-,-,0,ShAdDaFf,14,1169,13,1572,(empty),Malicious,Attack
1547071851.067815,CJcXMu4e9l4WBhjaI3,192.168.1.194,38574,138.197.44.13,22,tcp,ssh,1.123610,1642,1469,SF,-,-,0,ShADadFf,14,2378,12,2101,-,Malicious,Attack
1551382916.797103,CFPCHkPmedsgz005g,192.168.1.200,58006,151.54.179.131,23,tcp,-,3.215681,0,0,REJ,-,-,0,Sr,6,360,2,80,-,Malicious,Attack
1526846520.107524,Commko25AQ5v2GwkW,192.168.2.5,55377,191.239.60.163,22,tcp,ssh,3.881504,589,2574,SF,-,-,0,ShAdDaFf,16,1429,17,3466,(empty),Malicious,Attack
1551392145.832611,CrP03u4s36tPtwZELh,192.168.1.200,39924,180.157.128.97,23,tcp,-,3.459528,0,0,REJ,-,-,0,Sr,6,360,2,80,-,Malicious,Attack
1526804035.835372,C4WuLQ3VG7sg6wYP87,192.168.2.5,53632,144.76.243.178,22,tcp,ssh,2.222768,589,2209,SF,-,-,0,ShAdDaFf,13,1273,15,2997,(empty),Malicious,Attack
1526772479.029955,CbN8Uc1DwXRwLrbPd,192.168.2.5,53415,31.145.9.194,22,tcp,ssh,1.823589,537,1135,SF,-,-,0,ShAdDafF,15,1309,17,1819,(empty),Malicious,Attack
1526816393.544122,CC5EYf33tGuBGoXl83,192.168.2.5,50345,148.251.35.54,22,tcp,ssh,0.835987,589,1301,SF,-,-,0,ShAdDaFf,13,1273,15,2089,(empty),Malicious,Attack
1526810873.209944,CGo97auIq8KRl4jol,192.168.2.5,57770,182.218.135.183,22,tcp,ssh,6.026081,589,1159,SF,-,-,0,ShAdDaFf,15,1377,17,2051,(empty),Malicious,Attack
1551398655.948827,CS21tJgtq1hRR2BU8,192.168.1.200,48562,119.116.80.101,23,tcp,-,1.374214,0,0,REJ,-,-,0,Sr,4,240,2,80,-,Malicious,Attack
1526874973.830056,C6BcFP3Wtq5xny5qWb,192.168.2.5,51305,203.137.182.59,22,tcp,ssh,4.094837,589,2603,SF,-,-,0,ShAdDaFf,16,1429,14,3339,(empty),Malicious,Attack
1526838571.662572,CqsmwJx6zqsQEquib,192.168.2.5,45546,219.65.104.201,22,tcp,ssh,5.029788,589,1523,SF,-,-,0,ShAdDaFf,15,1209,14,2087,(empty),Malicious,Attack
1526846376.034785,CMn6hIISwXljqcO3i,192.168.2.5,55188,191.239.60.163,22,tcp,ssh,5.510174,589,2574,SF,-,-,0,ShAdDaFf,16,1429,16,3414,(empty),Malicious,Attack
1526816370.487588,C76NJF2QJARXdH2iBd,192.168.2.5,50291,148.251.35.54,22,tcp,ssh,0.887235,589,1301,SF,-,-,0,ShAdDaFf,13,1273,15,2089,(empty),Malicious,Attack
1526845289.341709,C7bmj12APpK2gwjls6,192.168.2.5,49939,191.168.7.36,22,tcp,ssh,3.318158,589,1000,SF,-,-,0,ShAdDaFf,15,1209,19,1764,(empty),Malicious,Attack
1526882549.426269,CGU2fZ02122dXCSm2,192.168.2.5,57344,137.74.114.140,22,tcp,ssh,3.302108,589,1801,SF,-,-,0,ShAdDaFf,13,1273,15,2589,(empty),Malicious,Attack
1526881823.525247,CS15dZc7nAFk9de0k,192.168.2.5,54898,137.74.205.120,22,tcp,ssh,1.585821,589,1817,SF,-,-,0,ShAdDaFf,15,1377,12,2449,(empty),Malicious,Attack
1526847471.243198,CPmjEm2RW7uD1lT9q1,192.168.2.5,34982,191.236.41.18,22,tcp,ssh,4.367941,589,2581,SF,-,-,0,ShAdDaFf,16,1429,15,3369,(empty),Malicious,Attack
1526866988.042633,CTN2VJ1cTCk67mwbm9,192.168.2.5,38171,204.188.253.197,22,tcp,ssh,3.983609,589,1801,SF,-,-,0,ShAdDaFf,13,1273,15,2589,(empty),Malicious,Attack
1551378094.908904,C9Wjov6sUzEB7NKN7,192.168.1.200,34446,196.67.61.149,23,tcp,-,3.186925,0,0,REJ,-,-,0,Sr,6,360,2,80,-,Malicious,Attack
