This is the Gotham Factory network traffic,,,,,,,,,,,,,,,,
timestamp,userid,id original,id.orig_p,id response,id.resp_p,protocol,service,duration in seconds,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1526846366.77596,CxK6ojUoUDZwLreac,192.168.2.5,55176,191.239.60.163,22,tcp,ssh,4.821358,589,2574,SF,16,1429,16,3414,Malicious
1526765511.67752,CYJzUJ2mMpLeMrle7d,192.168.2.5,41036,69.131.140.8,22,tcp,ssh,3.592734,589,1024,SF,14,1325,16,1864,Malicious
1551381385.46283,COV3cSx2lQlFoqn92,192.168.1.200,60682,112.140.120.100,23,tcp,-,0.281589,0,0,REJ,2,120,2,120,Malicious
1551378552.44095,C2Rdwp1qrnT5ist7Wi,192.168.1.200,43886,119.83.164.85,23,tcp,-,37.960623,415,72,RSTO,30,2152,16,792,Malicious
1526837281.18062,CaReVW2v6bRlkjsq5f,192.168.2.5,47351,219.94.128.110,22,tcp,ssh,6.066009,589,1429,SF,15,1377,13,2113,Malicious
1551396688.35583,C56pbT2vSmQOzS5BJh,192.168.1.200,47368,184.174.70.127,23,tcp,-,1.076633,0,0,REJ,4,240,2,80,Malicious
1526768033.70244,CGqD4CPRuSUztf5kl,192.168.2.5,42151,69.158.20.101,22,tcp,ssh,2.558119,589,1094,SF,14,1169,17,1786,Malicious
1551401421.46538,CTniD730aRDXqSsSXj,192.168.1.200,53896,60.114.92.99,23,tcp,-,0.288091,0,0,REJ,2,120,2,80,Malicious
1551380461.78201,CpBg291uxVxSyiA3Sk,192.168.1.200,45378,183.181.175.254,23,tcp,-,0.301333,0,0,REJ,2,120,2,80,Malicious
1526830013.1031,CKsTne3fUKWN8rC4nh,192.168.2.5,53975,144.76.156.49,22,tcp,ssh,3.13052,589,2590,SF,14,1325,16,3430,Malicious
1526875135.62399,CYwtrJ1v4BzpzmWmoj,192.168.2.5,51524,203.137.182.59,22,tcp,ssh,5.043546,589,2603,SF,15,1385,14,3339,Malicious
1551382096.69318,CF888G4Mu7Xx4T8Bpa,192.168.1.200,59706,128.172.124.161,23,tcp,-,1.122116,0,0,REJ,4,240,2,80,Malicious
1551410740.24736,C5vtW03L6BeJ8n8El9,192.168.1.200,52884,69.161.62.157,23,tcp,-,0.169914,0,0,REJ,2,120,2,80,Malicious
1526832800.23187,CrcdwZ3FtnxVuubx23,192.168.2.5,33096,144.172.84.173,22,tcp,ssh,5.432736,589,1801,SF,14,1325,17,2705,Malicious
1551390195.43563,CylLfp2tzOQmloLnkl,192.168.1.200,48404,191.166.161.209,23,tcp,-,0.919218,0,0,REJ,2,120,2,104,Malicious
1551390806.95264,CuC1YW3Tpb59o21eO8,192.168.1.200,36830,191.196.173.172,23,tcp,-,0.733587,0,0,REJ,2,120,2,104,Malicious
1526865866.96411,CvXSIM3ZtQ6LnAHSXa,192.168.2.5,57782,204.188.220.234,22,tcp,ssh,5.807632,589,2603,SF,17,1533,17,3507,Malicious
1526866791.74477,Cz1QcC7W0bKTJHL37,192.168.2.5,37909,204.188.253.197,22,tcp,ssh,4.582108,589,1801,SF,13,1273,15,2589,Malicious
1526824681.58423,CWkMQunmMed1LYegi,192.168.2.5,39848,196.196.116.149,22,tcp,ssh,3.479271,589,1801,SF,13,1273,16,2641,Malicious
1526759603.47392,CWOfhq1jDYJ7QajQUf,192.168.2.5,43984,121.232.125.149,22,tcp,ssh,5.338852,589,1801,SF,15,1377,15,2589,Malicious
1526810522.95519,Ca2kao2eB93r6U6OR7,192.168.2.5,59028,182.54.195.83,22,tcp,ssh,7.565822,589,1123,SF,14,1325,16,1963,Malicious
1526772641.25568,CAECpd3SqdanETZOQ1,192.168.2.5,53219,31.13.134.212,22,tcp,-,1.124824,21,1112,SF,7,393,6,1444,Malicious
1551412845.38226,C5OIde1FnQmNfGGhe1,192.168.1.200,52258,104.151.148.79,23,tcp,-,0.149917,0,0,REJ,2,120,2,80,Malicious
1526854399.27038,CkuHEv3qwmiCc4NQTl,192.168.2.5,38455,51.254.123.104,22,tcp,ssh,2.094131,589,2603,SF,14,1325,16,3443,Malicious
1526772868.5955,CA4LYe1itibyUA4PLe,192.168.2.5,39566,31.162.62.5,22,tcp,ssh,3.38417,589,1167,SF,15,1341,17,2059,Malicious
1547075695.34787,Cqrd4fuJLQcceVyTh,192.168.1.194,48734,34.212.30.100,22,tcp,ssh,2.598522,1642,1753,SF,14,2378,14,2489,Malicious
1526810699.44751,CEcc8s441HFRK8pLv7,192.168.2.5,59317,182.54.195.83,22,tcp,ssh,6.350144,589,1123,SF,14,1325,16,1963,Malicious
1547077332.91992,ChJRMCr2tzyNUZUlk,192.168.1.194,33724,91.228.53.216,22,tcp,ssh,2.9783,1802,1800,SF,14,2538,15,2588,Malicious
1551405863.11691,C7CY3L1kqNYd306lF9,192.168.1.200,59896,119.122.36.109,23,tcp,-,3.916794,0,0,REJ,6,360,2,80,Malicious
1526768136.68117,CSGwxs2oNshKWKhY18,192.168.2.5,42271,69.158.20.101,22,tcp,ssh,1.922825,589,1094,SF,14,1169,16,1746,Malicious
1526801094.2039,C5yfP50eWoKrC5m9a,192.168.2.5,49054,144.76.20.146,22,tcp,ssh,2.075504,589,1769,SF,13,1129,15,2373,Malicious
1526802342.13793,C08kui1TrFB1hNDbI4,192.168.2.5,51001,144.217.110.36,22,tcp,ssh,3.452769,589,2241,SF,15,1377,15,3029,Malicious
1551382032.34381,CjyHjt23n44D4Nqd6k,192.168.1.200,41748,112.177.201.215,23,tcp,-,0.299594,0,0,REJ,2,120,2,80,Malicious
1526758394.70945,CZYHm31rALNYRD90Ei,192.168.2.5,34700,121.41.11.135,22,tcp,ssh,5.301399,589,1801,SF,13,1273,16,2653,Malicious
1526853774.32322,C3ihnu22KpKZcb0yR,192.168.2.5,44208,51.15.2.81,22,tcp,ssh,3.172829,589,2600,SF,14,1325,16,3440,Malicious
1526867650.87954,C4jtaz4a2YEfBYWkxa,192.168.2.5,47739,204.85.2.160,22,tcp,ssh,4.230826,589,2603,SF,14,1325,16,3443,Malicious
1526808280.40976,CboPAL21eqrAjle93e,192.168.2.5,45324,182.129.240.170,22,tcp,ssh,4.483346,581,895,SF,16,1397,15,1683,Malicious
1551410971.6898,CxDZpc4ZvHqRmfGgug,192.168.1.200,50810,185.224.193.252,23,tcp,-,3.175433,0,0,REJ,6,360,2,80,Malicious
1526851664.06593,CaWnoq2kUE5pGCpGJ7,192.168.2.5,35163,51.254.203.244,22,tcp,ssh,2.080008,589,2599,SF,14,1325,16,3439,Malicious
1547071194.87763,CArIOCHN9267BME5k,192.168.1.194,37302,52.210.179.197,22,tcp,ssh,4.067181,1642,1761,SF,13,2326,14,2497,Malicious
1526881842.04215,C2CN9SVySoswmhpJc,192.168.2.5,54930,137.74.205.120,22,tcp,ssh,1.701271,589,1817,SF,13,1273,12,2449,Malicious
